mean_correlation,median_correlation,market_volatility,cross_sectional_dispersion,pca_first_component_ratio,mean_pairwise_distance,mean_correlation_distance,window_id,window_start,window_end,cluster_count,silhouette_score,adjacent_window_ari,sector_cluster_ari,sector_cluster_nmi,pca_stock_projection_pc1_ratio
0.3011330159997444,0.3140711134354527,0.1833051538464548,0.016767725907688623,0.36053008996922525,1.0267347429699325,1.1651166724984234,10,2021-11-12,2022-03-23,6,0.12364218772311253,0.9394285498532202,0.15280800175687276,0.4698808965411529,0.20646191580097217
0.30574082689237786,0.3156353330584295,0.1869140167160635,0.016712236767588297,0.3701755425498231,1.0236556252602538,1.159092845215138,11,2021-11-29,2022-04-06,6,0.17140884492412792,0.9107357132143393,0.146162556764897,0.4917327948040067,0.22400821144247407
0.29321275311232303,0.3052635741842419,0.18232397776532616,0.016649356798764142,0.3621476401778494,1.0306658306371363,1.1692473657595543,12,2021-12-13,2022-04-21,6,0.1522361595182166,0.9690377007127312,0.15424063417633066,0.5000477069418079,0.2240600097431041
0.37454867398846775,0.38854949607843886,0.2136147258182966,0.016724188024825507,0.4234802275865257,0.9662334272072102,1.099838822199206,13,2021-12-28,2022-05-05,6,0.1636531628337113,0.924492548397536,0.16850075699405262,0.5117412009298766,0.21438262033602404
0.40962412962755923,0.4189012206108544,0.23381898296645034,0.017204536073241065,0.4541983863868999,0.9401377556563161,1.0675540150583536,14,2022-01-11,2022-05-19,6,0.17735270941417744,0.8339771691479665,0.15850793029175642,0.47533240749465794,0.21802860194228244
0.42473231354210755,0.43525458425981084,0.24238250355478694,0.017385395771900347,0.46734199418279215,0.9286518948256196,1.0525062791168076,15,2022-01-26,2022-06-03,6,0.1743642045679111,0.7625223613595706,0.17172875327592663,0.49132850216032403,0.2379632671560796
0.46930318425839285,0.47747797689591076,0.25694539319214543,0.016945322547762227,0.5050462380228452,0.8938566187863124,1.0095845050793792,16,2022-02-09,2022-06-17,6,0.1857119464279204,0.7563592502164334,0.1592488278926373,0.480523857443255,0.2493444201251904
0.4707134121433129,0.4770058237249514,0.25993270283825093,0.01721938357549281,0.5046050428772476,0.890012244284534,1.0085132078738497,17,2022-02-24,2022-07-05,6,0.20840660785895812,0.8891735821637539,0.16506632507225358,0.5022273978495834,0.2511671305271503
0.4859922478644307,0.497297535892597,0.2556085775545628,0.016495643861198638,0.5157890817195516,0.8820973337481627,0.9957806013891362,18,2022-03-10,2022-07-19,6,0.2065568318603693,0.9123505976095617,0.208352455254704,0.5744845623443576,0.23255393802965482
0.47559990910011135,0.4729873763064439,0.25436070312040265,0.016707101556406128,0.5048599622226753,0.8910181760902661,1.0067046532574337,19,2022-03-24,2022-08-02,6,0.18110728095698203,0.9397590361445783,0.17600421094186927,0.5204423702133523,0.23187821794958555
