window_id,window_start,window_end,ticker,sector,cluster,kmeans_cluster
38,2022-12-23,2023-05-04,T,Communication Services,3,0
38,2022-12-23,2023-05-04,TSLA,Consumer Discretionary,0,2
38,2022-12-23,2023-05-04,UNH,Health Care,4,1
38,2022-12-23,2023-05-04,V,Financials,0,2
38,2022-12-23,2023-05-04,VZ,Communication Services,3,0
38,2022-12-23,2023-05-04,WMT,Consumer Staples,1,1
38,2022-12-23,2023-05-04,XOM,Energy,2,4
39,2023-01-10,2023-05-18,AAPL,Information Technology,1,1
39,2023-01-10,2023-05-18,AMD,Information Technology,1,1
39,2023-01-10,2023-05-18,AMT,Real Estate,0,2
39,2023-01-10,2023-05-18,AMZN,Consumer Discretionary,1,1
39,2023-01-10,2023-05-18,AVGO,Information Technology,1,0
39,2023-01-10,2023-05-18,BA,Industrials,4,4
39,2023-01-10,2023-05-18,BAC,Financials,4,3
39,2023-01-10,2023-05-18,BRK.B,Financials,4,3
39,2023-01-10,2023-05-18,CAT,Industrials,4,3
39,2023-01-10,2023-05-18,COST,Consumer Staples,0,0
39,2023-01-10,2023-05-18,CRM,Information Technology,1,1
39,2023-01-10,2023-05-18,CSCO,Information Technology,1,0
39,2023-01-10,2023-05-18,CVX,Energy,4,4
39,2023-01-10,2023-05-18,DIS,Communication Services,1,0
39,2023-01-10,2023-05-18,DUK,Utilities,0,2
39,2023-01-10,2023-05-18,GE,Industrials,5,3
39,2023-01-10,2023-05-18,GOOG,Communication Services,1,1
39,2023-01-10,2023-05-18,GOOGL,Communication Services,1,1
39,2023-01-10,2023-05-18,GS,Financials,4,3
39,2023-01-10,2023-05-18,HD,Consumer Discretionary,1,0
39,2023-01-10,2023-05-18,INTC,Information Technology,1,1
39,2023-01-10,2023-05-18,JNJ,Health Care,0,2
39,2023-01-10,2023-05-18,JPM,Financials,4,3
39,2023-01-10,2023-05-18,KO,Consumer Staples,0,5
39,2023-01-10,2023-05-18,LIN,Materials,4,4
39,2023-01-10,2023-05-18,LLY,Health Care,2,2
39,2023-01-10,2023-05-18,MA,Financials,1,0
39,2023-01-10,2023-05-18,MCD,Consumer Discretionary,0,5
39,2023-01-10,2023-05-18,META,Communication Services,1,1
39,2023-01-10,2023-05-18,MS,Financials,4,3
39,2023-01-10,2023-05-18,MSFT,Information Technology,1,1
39,2023-01-10,2023-05-18,NEE,Utilities,0,2
39,2023-01-10,2023-05-18,NFLX,Communication Services,1,0
39,2023-01-10,2023-05-18,NKE,Consumer Discretionary,1,0
39,2023-01-10,2023-05-18,NVDA,Information Technology,1,1
39,2023-01-10,2023-05-18,ORCL,Information Technology,1,0
39,2023-01-10,2023-05-18,PEP,Consumer Staples,0,5
39,2023-01-10,2023-05-18,PFE,Health Care,0,2
39,2023-01-10,2023-05-18,PG,Consumer Staples,0,2
39,2023-01-10,2023-05-18,T,Communication Services,3,0
39,2023-01-10,2023-05-18,TSLA,Consumer Discretionary,1,0
39,2023-01-10,2023-05-18,UNH,Health Care,0,4
39,2023-01-10,2023-05-18,V,Financials,1,0
39,2023-01-10,2023-05-18,VZ,Communication Services,3,2
39,2023-01-10,2023-05-18,WMT,Consumer Staples,0,5
39,2023-01-10,2023-05-18,XOM,Energy,4,4
40,2023-01-25,2023-06-02,AAPL,Information Technology,4,0
40,2023-01-25,2023-06-02,AMD,Information Technology,4,5
40,2023-01-25,2023-06-02,AMT,Real Estate,0,2
40,2023-01-25,2023-06-02,AMZN,Consumer Discretionary,4,0
40,2023-01-25,2023-06-02,AVGO,Information Technology,4,5
40,2023-01-25,2023-06-02,BA,Industrials,1,1
40,2023-01-25,2023-06-02,BAC,Financials,1,1
40,2023-01-25,2023-06-02,BRK.B,Financials,1,1
40,2023-01-25,2023-06-02,CAT,Industrials,1,1
40,2023-01-25,2023-06-02,COST,Consumer Staples,4,0
40,2023-01-25,2023-06-02,CRM,Information Technology,4,0
40,2023-01-25,2023-06-02,CSCO,Information Technology,1,0
40,2023-01-25,2023-06-02,CVX,Energy,1,4
40,2023-01-25,2023-06-02,DIS,Communication Services,1,0
40,2023-01-25,2023-06-02,DUK,Utilities,0,2
40,2023-01-25,2023-06-02,GE,Industrials,1,0
40,2023-01-25,2023-06-02,GOOG,Communication Services,4,5
40,2023-01-25,2023-06-02,GOOGL,Communication Services,4,5
40,2023-01-25,2023-06-02,GS,Financials,1,1
40,2023-01-25,2023-06-02,HD,Consumer Discretionary,1,0
40,2023-01-25,2023-06-02,INTC,Information Technology,4,0
40,2023-01-25,2023-06-02,JNJ,Health Care,0,2
40,2023-01-25,2023-06-02,JPM,Financials,1,1
40,2023-01-25,2023-06-02,KO,Consumer Staples,0,3
40,2023-01-25,2023-06-02,LIN,Materials,1,1
40,2023-01-25,2023-06-02,LLY,Health Care,3,3
40,2023-01-25,2023-06-02,MA,Financials,1,0
40,2023-01-25,2023-06-02,MCD,Consumer Discretionary,0,3
40,2023-01-25,2023-06-02,META,Communication Services,4,5
40,2023-01-25,2023-06-02,MS,Financials,1,1
40,2023-01-25,2023-06-02,MSFT,Information Technology,4,5
40,2023-01-25,2023-06-02,NEE,Utilities,0,2
40,2023-01-25,2023-06-02,NFLX,Communication Services,4,0
40,2023-01-25,2023-06-02,NKE,Consumer Discretionary,1,0
40,2023-01-25,2023-06-02,NVDA,Information Technology,4,5
40,2023-01-25,2023-06-02,ORCL,Information Technology,5,5
40,2023-01-25,2023-06-02,PEP,Consumer Staples,0,3
40,2023-01-25,2023-06-02,PFE,Health Care,0,2
40,2023-01-25,2023-06-02,PG,Consumer Staples,0,3
40,2023-01-25,2023-06-02,T,Communication Services,2,0
40,2023-01-25,2023-06-02,TSLA,Consumer Discretionary,4,0
40,2023-01-25,2023-06-02,UNH,Health Care,0,3
40,2023-01-25,2023-06-02,V,Financials,1,0
40,2023-01-25,2023-06-02,VZ,Communication Services,2,2
40,2023-01-25,2023-06-02,WMT,Consumer Staples,0,3
40,2023-01-25,2023-06-02,XOM,Energy,1,4
41,2023-02-08,2023-06-16,AAPL,Information Technology,2,5
41,2023-02-08,2023-06-16,AMD,Information Technology,2,4
41,2023-02-08,2023-06-16,AMT,Real Estate,0,2
41,2023-02-08,2023-06-16,AMZN,Consumer Discretionary,2,4
41,2023-02-08,2023-06-16,AVGO,Information Technology,2,5
41,2023-02-08,2023-06-16,BA,Industrials,3,2
41,2023-02-08,2023-06-16,BAC,Financials,3,3
41,2023-02-08,2023-06-16,BRK.B,Financials,3,3
41,2023-02-08,2023-06-16,CAT,Industrials,3,3
41,2023-02-08,2023-06-16,COST,Consumer Staples,5,4
41,2023-02-08,2023-06-16,CRM,Information Technology,2,4
41,2023-02-08,2023-06-16,CSCO,Information Technology,1,5
41,2023-02-08,2023-06-16,CVX,Energy,3,3
41,2023-02-08,2023-06-16,DIS,Communication Services,3,0
41,2023-02-08,2023-06-16,DUK,Utilities,0,2
41,2023-02-08,2023-06-16,GE,Industrials,3,3
41,2023-02-08,2023-06-16,GOOG,Communication Services,2,4
41,2023-02-08,2023-06-16,GOOGL,Communication Services,2,4
41,2023-02-08,2023-06-16,GS,Financials,3,3
41,2023-02-08,2023-06-16,HD,Consumer Discretionary,3,0
41,2023-02-08,2023-06-16,INTC,Information Technology,1,2
41,2023-02-08,2023-06-16,JNJ,Health Care,0,1
41,2023-02-08,2023-06-16,JPM,Financials,3,3
41,2023-02-08,2023-06-16,KO,Consumer Staples,0,1
41,2023-02-08,2023-06-16,LIN,Materials,3,3
41,2023-02-08,2023-06-16,LLY,Health Care,0,1
41,2023-02-08,2023-06-16,MA,Financials,3,0
41,2023-02-08,2023-06-16,MCD,Consumer Discretionary,0,1
41,2023-02-08,2023-06-16,META,Communication Services,2,4
41,2023-02-08,2023-06-16,MS,Financials,3,3
41,2023-02-08,2023-06-16,MSFT,Information Technology,2,5
41,2023-02-08,2023-06-16,NEE,Utilities,0,2
41,2023-02-08,2023-06-16,NFLX,Communication Services,5,4
41,2023-02-08,2023-06-16,NKE,Consumer Discretionary,3,0
41,2023-02-08,2023-06-16,NVDA,Information Technology,2,5
41,2023-02-08,2023-06-16,ORCL,Information Technology,2,5
