window_id,raw_coordinate_norm,aligned_coordinate_norm,norm_ratio,raw_mean_pairwise_distance,aligned_mean_pairwise_distance,distance_ratio
22,0.6747537542526445,0.6747537542526446,1.0000000000000002,0.875626000365343,0.8756260003653431,1.0000000000000002
23,0.6732855762951829,0.6732855762951832,1.0000000000000002,0.8747394618199362,0.8747394618199363,1.0000000000000002
24,0.6555260772631689,0.6555260772631689,1.0,0.8515188739725236,0.8515188739725236,1.0
25,0.6686953330191114,0.6686953330191114,1.0,0.8701820177833766,0.8701820177833766,1.0
26,0.6634861796857805,0.6634861796857806,1.0000000000000002,0.8637569350762131,0.8637569350762133,1.0000000000000002
27,0.6633608380747531,0.6633608380747532,1.0000000000000002,0.8625385935464727,0.8625385935464729,1.0000000000000002
28,0.6410348580481875,0.6410348580481876,1.0000000000000002,0.8335416180583936,0.8335416180583938,1.0000000000000002
29,0.6329102562525495,0.6329102562525494,0.9999999999999998,0.8229227542961032,0.8229227542961032,1.0
30,0.645190060261434,0.6451900602614342,1.0000000000000004,0.8394030612606928,0.839403061260693,1.0000000000000002
31,0.669726794969518,0.6697267949695181,1.0000000000000002,0.8723850244316522,0.8723850244316523,1.0000000000000002
32,0.6880132746753134,0.6880132746753134,1.0,0.8961629767345805,0.8961629767345802,0.9999999999999998
33,0.709676721267461,0.7096767212674611,1.0000000000000002,0.9243909186399257,0.924390918639926,1.0000000000000002
34,0.7212577191399663,0.7212577191399664,1.0000000000000002,0.9394813333145734,0.9394813333145735,1.0000000000000002
35,0.7306071220244599,0.7306071220244598,0.9999999999999999,0.9522401547500049,0.9522401547500049,1.0
36,0.7448964829229398,0.7448964829229399,1.0000000000000002,0.9721038902508848,0.9721038902508851,1.0000000000000002
37,0.7674503430458108,0.7674503430458107,0.9999999999999999,1.0020529817130843,1.0020529817130843,1.0
38,0.7796663645470657,0.7796663645470656,0.9999999999999999,1.0183031106544138,1.0183031106544136,0.9999999999999998
39,0.7868036734327765,0.7868036734327764,0.9999999999999999,1.0278055169326816,1.0278055169326816,1.0
40,0.8009236856052669,0.8009236856052669,1.0,1.0465738154047666,1.0465738154047666,1.0
41,0.7991295316870128,0.7991295316870127,0.9999999999999999,1.0443046531313174,1.0443046531313174,1.0
42,0.8081106410769471,0.8081106410769471,1.0,1.05626109022811,1.05626109022811,1.0
43,0.8174287582970935,0.8174287582970934,0.9999999999999999,1.0678669290893104,1.0678669290893106,1.0000000000000002
44,0.8428177274679661,0.8428177274679663,1.0000000000000002,1.1019179801249348,1.101917980124935,1.0000000000000002
45,0.836747940529124,0.8367479405291244,1.0000000000000004,1.0935559413327864,1.0935559413327867,1.0000000000000002
46,0.8277593551297362,0.8277593551297362,1.0,1.081736883460695,1.0817368834606949,0.9999999999999998
47,0.8417205037461478,0.8417205037461477,0.9999999999999999,1.0999118084846482,1.099911808484648,0.9999999999999998
48,0.8322682810069479,0.8322682810069477,0.9999999999999998,1.0872890694109991,1.0872890694109987,0.9999999999999996
49,0.8342689468262188,0.8342689468262188,1.0,1.0898051071498074,1.0898051071498072,0.9999999999999998
50,0.827646494733414,0.827646494733414,1.0,1.0810106505941641,1.0810106505941641,1.0
51,0.8195400626278383,0.8195400626278382,0.9999999999999999,1.0704810518378618,1.0704810518378614,0.9999999999999996
52,0.8157631938353471,0.8157631938353469,0.9999999999999998,1.0651465095850166,1.065146509585016,0.9999999999999996
53,0.8090906367169722,0.8090906367169722,1.0,1.0561923836911637,1.056192383691164,1.0000000000000002
54,0.8147692323499535,0.8147692323499532,0.9999999999999998,1.0644424873373424,1.0644424873373421,0.9999999999999998
55,0.8271759123699292,0.8271759123699293,1.0000000000000002,1.0807543612858095,1.0807543612858095,1.0
56,0.8241881809838427,0.8241881809838427,1.0,1.0766397899324076,1.0766397899324076,1.0
57,0.8387321905761486,0.8387321905761482,0.9999999999999996,1.0960614163943443,1.0960614163943438,0.9999999999999996
58,0.8346910976088036,0.8346910976088037,1.0000000000000002,1.0906033959032817,1.090603395903282,1.0000000000000002
59,0.8465244072381426,0.8465244072381422,0.9999999999999994,1.1063382155174637,1.1063382155174635,0.9999999999999998
60,0.8585365904788488,0.8585365904788488,1.0,1.1221480035650309,1.122148003565031,1.0000000000000002
61,0.8595695948546638,0.8595695948546636,0.9999999999999998,1.1239178933372542,1.123917893337254,0.9999999999999998
62,0.8549278524504083,0.8549278524504085,1.0000000000000002,1.1176672428195826,1.117667242819583,1.0000000000000004
63,0.8601423468147944,0.8601423468147946,1.0000000000000002,1.123721263610151,1.1237212636101512,1.0000000000000002
64,0.858817804441173,0.858817804441173,1.0,1.1224374804291075,1.1224374804291075,1.0
65,0.8535152776422862,0.8535152776422863,1.0000000000000002,1.1153763352796886,1.1153763352796886,1.0
66,0.8580061382907742,0.8580061382907742,1.0,1.1213136730778972,1.1213136730778972,1.0
67,0.865321286723392,0.865321286723392,1.0,1.1311637893644744,1.1311637893644744,1.0
68,0.8661914040212646,0.8661914040212643,0.9999999999999997,1.1318970133513655,1.1318970133513655,1.0
69,0.8713405305670022,0.8713405305670023,1.0000000000000002,1.1376988474380731,1.1376988474380734,1.0000000000000002
70,0.8514884778691418,0.8514884778691417,0.9999999999999999,1.1117142877034474,1.111714287703447,0.9999999999999996
71,0.8534318270021788,0.853431827002179,1.0000000000000002,1.1143841576654205,1.114384157665421,1.0000000000000004
72,0.8450456135574295,0.8450456135574297,1.0000000000000002,1.1023249685700034,1.1023249685700034,1.0
73,0.8483850422501334,0.8483850422501337,1.0000000000000002,1.1069850603676257,1.106985060367626,1.0000000000000002
74,0.8542240589757922,0.854224058975792,0.9999999999999998,1.1146280951733862,1.1146280951733862,1.0
75,0.85047072085388,0.8504707208538799,0.9999999999999999,1.1097184573079726,1.1097184573079724,0.9999999999999998
76,0.8483925811452541,0.8483925811452543,1.0000000000000002,1.1055643338207861,1.1055643338207863,1.0000000000000002
77,0.8498781484668188,0.849878148466819,1.0000000000000002,1.1076412161948144,1.1076412161948146,1.0000000000000002
78,0.8471716614850324,0.8471716614850326,1.0000000000000002,1.1052209318309676,1.1052209318309678,1.0000000000000002
79,0.8584048573687739,0.8584048573687739,1.0,1.1209700022141895,1.1209700022141895,1.0
80,0.8560488480746203,0.8560488480746209,1.0000000000000007,1.1180091314090608,1.1180091314090614,1.0000000000000007
81,0.854411798353184,0.8544117983531841,1.0000000000000002,1.116087457653789,1.116087457653789,1.0
82,0.8619285182897571,0.8619285182897571,1.0,1.126353701421875,1.126353701421875,1.0
83,0.866112366477002,0.866112366477002,1.0,1.1321048012455213,1.1321048012455217,1.0000000000000004
84,0.8572368258811168,0.8572368258811168,1.0,1.1193607607518437,1.1193607607518437,1.0
