ticker,latest_price,return_1y,volatility_1y,momentum_6m,max_drawdown_1y
BRK.B,200.37,0.23024498065942156,0.1332120024230705,0.12529484443446037,-0.09413118527042574
BSX,26.32,0.042789223454833714,0.19148148714107438,-0.00940910801656003,-0.16812080536912755
BWA,55.0,0.3593672763222937,0.23800858767762212,0.18203309692671388,-0.13560864618885093
BXP,115.34,-0.12335638823439987,0.16383974457629122,-0.05202597189118108,-0.17972547898198454
C,74.99,0.33149857954545436,0.1784043618451756,0.09586438696478128,-0.08503996003996006
CA,34.0,0.08487555839183147,0.21912944395891662,0.044546850998463894,-0.1382681564245809
CAG,35.89,-0.09185222672064786,0.16793248661792068,0.043617330619366124,-0.2185542168674699
CAH,65.14,-0.1628325408045238,0.2519789587172868,-0.045287996482485715,-0.3436754176610979
CAT,154.34,0.6611774835862663,0.21257486279387705,0.3498338289312577,-0.11592252326057684
CB,147.52,0.12757012917526556,0.14361071968450534,-0.0118561189630918,-0.10002001734836863
CBG,42.54,0.3820662768031189,0.20456616086380983,0.15347071583514094,-0.1084271205050783
CBOE,114.565,0.4884370533974276,0.17547543169062613,0.18352272727272734,-0.16473461650627008
CBS,53.44,-0.15855770744764608,0.2310429431046593,-0.18224942616679418,-0.23118975686951526
CCI,108.75,0.24058863791923346,0.15958895305051715,0.07919023518904433,-0.09173024642637906
CCL,69.12,0.24338909875876946,0.1710654528105309,0.014084507042253724,-0.08606793321819228
CDNS,38.57,0.31908344733242133,0.18931511220568348,0.05497811816192555,-0.1578602620087336
CELG,95.16,-0.17503250975292584,0.2897760297363289,-0.2980747953086966,-0.3602238602238603
CERN,63.48,0.19931985641413186,0.21651515603698304,0.015842534805568853,-0.13809976892755194
CF,39.48,0.1299370349170006,0.3848911340703821,0.23839397741530743,-0.3050939798420049
CFG,44.84,0.2684582743988686,0.24012338460253474,0.2800456751355982,-0.18969436726446087
CHD,47.37,-0.009617394940414026,0.15165487646981915,-0.05108173076923084,-0.19479553903345725
CHK,13.110299999999999,-0.41067747190694404,0.4955710924792477,-0.33867276887871856,-0.518705535954256
CHRW,92.57,0.21594640746092209,0.18951723025843306,0.39981853924088906,-0.1963888201830324
CHTR,363.55,0.11610843336505683,0.242750760887431,-0.09316537789972557,-0.21418633540372667
CI,195.44,0.321969696969697,0.17639539696462764,0.09748427672955962,-0.13606224029705594
CINF,72.63,0.032556155814614574,0.16347697460347654,-0.09585459977592437,-0.1285394932935916
CL,70.17,0.05376182610001501,0.15572603749891945,-0.01956126868799768,-0.10397513919461354
CLX,127.82,0.005981426097906528,0.16346895895390204,-0.04761195141941743,-0.15157993185917562
CMA,93.58,0.38125461254612536,0.21903833278204862,0.29129294880640266,-0.1431609730160841
CMCSA,40.15,0.07511045655375548,0.20889268402161829,-0.011813930593157829,-0.16289592760181004
CME,159.93,0.37196534271253334,0.16146168000872116,0.26737459386639206,-0.09354330708661418
CMG,272.21,-0.32444036332952797,0.3277194214988337,-0.18648575954095825,-0.45841899463861
CMI,172.74,0.1857495881383855,0.1863410438132057,0.08368883312421582,-0.1161075686165789
CMS,42.16,-0.01724941724941731,0.1186033438713608,-0.11017306880540323,-0.16597428288822946
CNC,104.38,0.5200232998398135,0.2732188802770337,0.261694669406503,-0.10941840666726421
CNP,26.36,-0.002271006813020504,0.13269587152149445,-0.09291121816930492,-0.135632183908046
COF,98.12,0.1208590358693169,0.2108682750855558,0.15245478036175708,-0.19975031210986272
COG,23.37,-0.009745762711864447,0.26849573348811484,-0.05879983890455087,-0.20618206521739135
COL,135.4,0.4959672964313335,0.2860020912022425,0.07094835086609197,-0.11576296529471941
COO,230.47,0.21974067213548554,0.21668185995427044,-0.0504305549833135,-0.14523342487249902
COP,55.63,0.1215725806451613,0.30129967361969756,0.21861993428258497,-0.15254237288135586
COST,183.19,0.0876974231088945,0.1988544652875483,0.1678566874920311,-0.17544532748698272
COTY,17.48,-0.12774451097804385,0.33891410414599216,-0.1198388721047331,-0.3008763388510224
CPB,44.8,-0.2933753943217666,0.23993025406145504,-0.15805299755685032,-0.30733082706766923
CRM,110.05,0.3636926889714993,0.1584438105814841,0.22114957833999105,-0.08226102941176472
CSCO,40.34,0.29005436520626815,0.17453770911266162,0.27577482605945614,-0.11817653890824609
CSRA,31.35,0.034653465346534684,0.21922930515174924,-0.026095060577819074,-0.1821152703505644
CSX,52.97,0.10446205170975809,0.24356792008443123,0.04477317554240634,-0.12774053270520014
CTAS,156.6,0.3694796676869261,0.1832240203027663,0.1747936984246059,-0.07183140397744137
