ticker,cluster,pca1,pca2
HUM,0,0.9042030380736963,-0.2773419117562211
IBM,1,-0.6239372599168168,-0.5675600059997777
ICE,0,0.8926085668121295,-0.287683293289444
IDXX,2,0.6870831158025946,0.28262774776950805
IFF,0,0.7550514298473017,-0.7834096694831911
ILMN,2,0.5879189133168105,0.7743521240578867
INCY,5,-4.385833298339626,0.03664425615230393
INFO,1,0.417565746786047,-0.9494676353685803
INTC,2,1.0752405956465596,0.5192734035517528
INTU,0,1.4904301573284995,0.18458699397826128
IP,0,0.6875030720154842,-0.44716981229308067
IPG,6,-1.439187877359006,0.11663811608652308
IQV,0,0.8951008890402529,-0.27112972600299584
IR,0,0.3990834796625739,-0.5425313961776801
IRM,6,-1.1531850151726482,-1.165751324026387
ISRG,7,2.246031190760027,1.2042281439838702
IT,1,0.32499312826232973,-0.6853211088371907
ITW,0,1.3946901852864766,-0.31855821329145917
IVZ,1,-0.020316850592249275,-0.7380229555340586
JBHT,2,0.8534136502181554,0.6172806188515386
JCI,6,-0.8252528287272795,-0.8029555606964562
JEC,2,0.5430339973630872,0.5403324938402878
JNJ,1,0.5869543808306245,-1.1762335987795975
JNPR,6,-1.2411069738604084,-0.6149031117287782
JPM,0,1.3630355890308001,0.08824021045584318
JWN,3,-1.1490336037854556,1.232760469094026
K,6,-1.1463542609191206,-0.9338794738041197
KEY,2,0.5155465908597134,0.3391097871803371
KHC,6,-1.4142412878128292,-1.4442765858024769
KIM,5,-3.795409928825592,-1.0364400267516953
KLAC,2,-0.08667931218985189,0.698036270523026
KMB,1,-0.6208292754247339,-1.3633756951417737
KMI,6,-1.6633368975938212,-1.2173206362911273
KMX,6,-0.767328494772932,-0.18379618933084457
KO,1,0.6779572312796793,-1.6502021755791836
KORS,4,1.913501011609874,3.1668304881003793
KR,3,-2.209535602448079,1.8691960308179567
KSS,4,1.3174165597013747,3.245335462171761
KSU,0,0.7309938762504382,-0.3695442526730079
L,1,0.4275342658698643,-1.5074957196584653
LB,3,-2.823760060445101,2.427046115241883
LEG,1,-0.6484879366114825,-0.9068623746705148
LEN,2,0.6283736720802716,0.6507538816348438
LH,0,1.0292242058959327,-0.3660330773143308
LKQ,0,1.0581629167283007,0.1064279835475426
LLL,0,1.4162303272123724,-0.33977088220568863
LLY,1,-0.1457425797596858,-1.3674895126357591
LMT,0,1.7886961033661053,-0.6384258945083174
LNC,2,0.2793126463228943,-0.1759908791732855
LNT,1,-0.27657488861603347,-1.645632697541868
LOW,7,1.1560566263755132,1.101099447311784
LRCX,2,0.18615738573642943,1.4347429887540877
LUK,1,-0.2671423880482299,-0.6895609808664847
LUV,2,-0.3941647713908628,0.11012259280231257
LYB,2,0.7013870307269653,0.5843962275074005
M,5,-3.5755468844632734,2.136827993370086
MA,7,2.607262085834254,0.49532403934344765
MAA,1,-0.9466954016367343,-1.7134540509887553
MAC,6,-1.2549489616534728,0.003657123893621189
MAR,7,2.4806703683076927,1.239992781184583
MAS,0,1.117864361329626,-0.13793294159053315
MAT,5,-4.489470148194629,1.8444340561719852
MCD,0,1.4138166889688886,-0.7522370740094181
MCHP,2,-0.2791051851686431,-0.12990074505412397
MCK,6,-0.6141851620406351,-0.027654503090685498
MCO,7,2.0187759368951887,0.24429554158376257
MDLZ,1,-0.17643476140689024,-0.8602971494523384
MDT,1,0.15744331552724475,-1.1482794682609563
MET,6,-0.8990060964498924,-0.6706867487288922
MGM,2,0.25020278790216843,0.4509430676047297
MHK,0,1.2327956272221214,-0.7939400086073111
MKC,1,0.2877315724435161,-0.538151131282385
MLM,6,-0.7502836726796253,0.06330909270948218
MMC,0,1.1540691587077063,-1.1121921839827082
MMM,0,1.3476192201893107,-0.37938849366494964
MNST,7,1.8764070329636464,0.6822063453855122
MO,1,-0.5776190370629466,-0.7491857883512518
MON,0,1.0681249107913242,-1.4500591822992668
MOS,3,-2.3421819448876158,1.3523107818086941
MPC,4,0.13471230353547817,1.9873320031656143
MRK,6,-1.4451539609458277,-0.458712087327538
MRO,3,-1.9697902838912167,3.7494047965791233
MS,2,0.7672305593876125,0.1628918243157677
MSFT,7,1.9562892506058476,0.1856011263690031
MSI,0,1.346447939882967,-0.12191475953265235
MTB,2,0.37819296590435175,-0.09314517064283136
MTD,0,1.3130200325139072,-0.149704273617795
MU,4,1.3548087988459205,3.8413204452148118
MYL,3,-1.2589433991849874,1.977391716853365
NAVI,3,-2.0935941616602447,0.859261299252994
NBL,3,-2.8335373460085194,0.9919410480872076
NCLH,2,-0.005719019984166768,-0.0348801646781635
NDAQ,0,0.8510294180030681,-1.289962733785894
NEE,0,0.9624794195632921,-1.2416842587326677
NEM,6,-0.4565649319703722,-0.2837916508211296
NFLX,4,2.5429636637246116,3.143899736452415
NFX,5,-3.4075541879277167,1.826462780371546
NI,1,-0.24443640690107019,-1.5810897518016391
NKE,2,0.3435539401902551,0.18972035816375524
NLSN,6,-1.2915960786773606,-0.852557372082706
NOC,7,2.2294176779359933,0.01604695281523222
NOV,3,-1.4189393950103129,0.5643989529780227
NRG,4,-0.43057454119172556,2.271440707642835
NSC,2,0.5911615098315465,0.7804716891094424
NTAP,7,1.4360262274866833,1.8924284442392454
NTRS,0,0.7495053619268032,-0.12506708139492864
NUE,2,-0.22193441943955985,0.34591240080822244
NVDA,4,1.137139502795351,3.622136656726097
NWL,5,-5.613584341930251,1.2164503700051075
NWS,0,1.0118073767466222,0.0776998292111792
NWSA,0,1.1187784790650848,0.09941659251745016
O,6,-1.3429747786486632,-1.5537631597080523
OKE,2,-0.20529320399500764,-0.04375535228439547
OMC,6,-1.0684710430999098,-0.8579818794141468
ORCL,0,0.496134173492382,-0.6037520334630879
ORLY,3,-1.668922083507911,1.785245150649586
OXY,2,0.24979186103588333,-0.2150622654079117
PAYX,0,0.8072029614252532,-0.2805876948341399
PBCT,1,0.09613498333652468,-0.4052431651588912
PCAR,1,-0.05305914619745105,-0.5561825690464972
PCG,5,-3.942091703087159,-1.1859262825104848
PCLN,2,-0.25593154161722537,-0.1871802007945793
PDCO,6,-2.14868194744402,-0.4584011418888276
PEG,1,0.7142075068895899,-1.0824904131777784
PEP,1,0.6857703796896458,-1.6423321644065143
PFE,1,0.6417102597011477,-1.0911005845976693
PFG,1,-0.08647427541075156,-0.8807704529423085
PG,1,-0.22067659965951889,-1.9409873130315445
PGR,0,1.5699576964043032,-0.26043158547524853
PH,0,0.8762200912726756,-0.10954248675376857
PHM,7,1.0985418506326496,0.5179310737100777
PKG,0,0.8954631916830241,-0.3929491481826706
PKI,0,1.6623884130319058,0.0835028237831911
PLD,0,0.6288038191809078,-0.863136110283384
PM,1,-0.751104155735246,-1.5108209583048342
PNC,0,1.1997354352071432,-0.022275902956536836
PNR,0,0.7546248494950472,-0.2827948132657053
PNW,1,-0.5271727630183883,-1.8636974848199892
PPG,0,0.7296471431603885,-0.5095928767784237
PPL,6,-1.347556998194213,-2.0433032318396434
PRGO,3,-0.23800742391263563,2.0463770337103235
PRU,1,0.04507815220619915,-0.7524536538448865
PSA,6,-0.9612230598995047,-1.2558850881199226
PSX,0,1.0346005772476339,-0.4004292370829037
